name,time,Engine,UnAuthorized,lat,lon
demo,1678476514009918845,OFF,1,47.203,-122.4882
demo,1678476540230023687,ON,0,47.203,-122.4882
demo,1678476580704495270,OFF,1,47.203,-122.4882
demo,1678476611881286727,ON,0,47.203,-122.4882
demo,1678476642367323007,ON,0,47.203,-122.4882
demo,1678477173887123901,OFF,1,47.203,-122.4882
demo,1678487769207989214,OFF,1,47.203,-122.4882
demo,1678487779910107260,OFF,1,47.203,-122.4882
demo,1678487788382525857,ON,0,47.203,-122.4882
demo,1678500231913007373,ON,0,47.203,-122.4882
demo,1678500234289937572,ON,0,47.203,-122.4882
demo,1678500261451705814,ON,0,47.203,-122.4882
demo,1678500301660969500,ON,0,47.203,-122.4882
demo,1678500325433906798,OFF,1,47.203,-122.4882
demo,1678500356346557060,ON,0,47.203,-122.4882
demo,1678500414132413106,OFF,1,47.203,-122.4882
demo,1678500421388052457,OFF,1,47.203,-122.4882
demo,1678500423447215996,OFF,1,47.203,-122.4882
demo,1678501663865256404,ON,0,47.203,-122.4882
demo,1678501744745617956,ON,0,47.203,-122.4882
demo,1678501766740452359,ON,0,47.203,-122.4882
demo,1678501782752345911,ON,0,47.203,-122.4882
demo,1678501784687427382,ON,0,47.203,-122.4882
demo,1678501798655888255,OFF,1,47.203,-122.4882
demo,1678501836900168876,ON,0,47.203,-122.4882
demo,1678501853255161203,ON,0,47.203,-122.4882
demo,1678501874699353236,OFF,1,47.203,-122.4882
demo,1678501888730781443,ON,0,47.203,-122.4882
demo,1678501942747492506,OFF,1,47.203,-122.4882
demo,1678501956776064782,OFF,1,47.203,-122.4882
demo,1678502365179983395,OFF,1,47.203,-122.4882
demo,1678502397312675642,OFF,1,47.203,-122.4882
demo,1678502399409579315,OFF,1,47.203,-122.4882
demo,1678502401205131462,OFF,1,47.203,-122.4882
demo,1678502403397481282,OFF,1,47.203,-122.4882
demo,1678503333354529787,OFF,1,47.203,-122.4882
demo,1678510014311137405,OFF,1,47.203,-122.4882
demo,1678510063673124952,OFF,1,47.203,-122.4882
demo,1678510069549520810,OFF,1,47.203,-122.4882
demo,1678510075630269116,ON,0,47.203,-122.4882
demo,1678510153436488306,OFF,1,47.203,-122.4882
demo,1678510193627628563,ON,0,47.203,-122.4882
demo,1678510247712914937,OFF,1,47.203,-122.4882
demo,1678510287568348780,OFF,1,47.203,-122.4882
demo,1678510437483591018,OFF,1,47.203,-122.4882
demo,1678510663694217252,OFF,1,47.203,-122.4882
demo,1678511198063463847,OFF,1,47.203,-122.4882
demo,1678511638281916600,OFF,1,47.203,-122.4882
demo,1678512308871611118,OFF,1,47.203,-122.4882
demo,1678512316801562270,OFF,1,47.203,-122.4882
demo,1678512548844663395,OFF,1,47.203,-122.4882
